"max_Re_eigen_jacobian","alpha_H","alpha_L","trait_matching","n_spe_H_val","n_spe_L_val","num_persistent_species","simulation_converged","trait_quartile"
-0.165486241057849,3.94152567721903,2.0448846090585,0.323198644118384,23,12,29,TRUE,"Trait matching (Q2)"
-0.0241592372905621,2.9794181114994,3.04486042587087,0.264987550070509,28,37,65,TRUE,"Trait matching (Q1)"
-0.124690167820165,2.75171962799504,3.20870353607461,0.390380733448546,39,19,41,TRUE,"Trait matching (Q2)"
-0.122911454458932,2.24420157028362,3.89516346622258,0.724853621190414,39,34,73,TRUE,"Trait matching (Q3)"
-0.064513990203379,2.7116971113719,1.4523400075268,0.704865309956949,26,25,49,TRUE,"Trait matching (Q3)"
-0.0304513810009904,4.06401827931404,2.79289570986293,0.865042870840989,10,14,23,TRUE,"Trait matching (Q4)"
-0.15092130441906,3.34529013372958,2.32173629454337,0.456243437912781,45,17,45,TRUE,"Trait matching (Q2)"
-0.130163481959513,0.199332940392196,2.13982199202292,0.992898033023812,48,32,63,TRUE,"Trait matching (Q4)"
-0.137193988369672,3.10538511024788,4.3015012901742,0.729784553998616,41,34,66,TRUE,"Trait matching (Q3)"
-0.0901564799211868,3.7358825863339,4.01453966274858,0.807526546833105,48,39,82,TRUE,"Trait matching (Q4)"
-0.13800008999805,2.32982008135878,4.52510858303867,0.51007256442681,34,15,41,TRUE,"Trait matching (Q2)"
-0.085092925888372,0.887965202564374,4.48168148403056,0.637443863484077,19,23,41,TRUE,"Trait matching (Q3)"
-0.021093672352301,1.74483883427456,3.09547594049945,0.312806864466984,14,36,49,TRUE,"Trait matching (Q2)"
-0.123238898010734,0.458503344561905,2.23284015664831,0.751616517174989,29,20,43,TRUE,"Trait matching (Q3)"
-0.116880631695209,1.22679163236171,2.42548007401638,0.557348650752101,32,20,39,TRUE,"Trait matching (Q3)"
-0.0679114210757752,2.40330072236247,3.00692542339675,0.698098622541875,24,31,54,TRUE,"Trait matching (Q3)"
-0.124295599562816,4.11880433792248,0.46734118135646,0.498153451178223,40,31,62,TRUE,"Trait matching (Q2)"
-0.132760184671381,2.61332080350257,3.87816516449675,0.902828989189584,31,13,32,TRUE,"Trait matching (Q4)"
-0.0259901925230187,4.98405366903171,0.36673566326499,0.629493956326041,12,29,41,TRUE,"Trait matching (Q3)"
-0.0494597722941504,3.23624208569527,1.68816923978738,0.170721286244225,12,20,30,TRUE,"Trait matching (Q1)"
-0.0423425782503059,2.07629451644607,4.96561210835353,0.455161499336828,16,26,42,TRUE,"Trait matching (Q2)"
-0.0577710163224734,3.31832724506967,4.91305274772458,0.453869989165105,32,20,44,TRUE,"Trait matching (Q2)"
-0.0347105176226221,2.31285874033347,2.72986742667854,0.916156261553988,13,38,51,TRUE,"Trait matching (Q4)"
-0.120492300593807,3.05892277392559,2.57446306059137,0.829021284426563,46,29,61,TRUE,"Trait matching (Q4)"
-0.0783792272001983,2.78786255395971,2.10778730688617,0.491363697720226,42,48,90,TRUE,"Trait matching (Q2)"
-0.0995541081651202,3.14939427073114,3.92171070096083,0.478342403331771,32,28,56,TRUE,"Trait matching (Q2)"
-0.0879429090537521,0.229050044436008,1.91353619913571,0.575549638725352,26,26,49,TRUE,"Trait matching (Q3)"
-0.0772778668803156,1.97773532592691,3.40516991680488,0.931157004507259,33,26,45,TRUE,"Trait matching (Q4)"
-0.0798920349757106,3.22324645705521,3.85127087938599,0.88180665402906,33,29,57,TRUE,"Trait matching (Q4)"
-0.161323133320384,4.61070177378133,1.88428444671445,0.440528454969171,49,34,72,TRUE,"Trait matching (Q2)"
-0.0347207100558751,2.8221527650021,1.24456641380675,0.222138374473434,19,26,43,TRUE,"Trait matching (Q1)"
-0.0445097205652654,3.35524305817671,1.54032614664175,0.275953661627136,26,49,75,TRUE,"Trait matching (Q1)"
-0.0627507254664201,2.9159617901314,2.52952573588118,0.324516519368626,37,20,47,TRUE,"Trait matching (Q2)"
-0.0283504234897939,0.312873634975404,4.04138146201149,0.148346039478201,18,41,58,TRUE,"Trait matching (Q1)"
-0.138237513861467,0.0122678547631949,3.69059119489975,0.226955729990732,28,14,34,TRUE,"Trait matching (Q1)"
-0.0430672541502195,2.9239487182349,2.42812512093224,0.0663645779830404,17,26,41,TRUE,"Trait matching (Q1)"
-0.065205189066076,2.67255959101021,1.68259194004349,0.416202169167809,29,23,43,TRUE,"Trait matching (Q2)"
-0.0501715929774182,2.13403879199177,4.59766239742748,0.666205501696095,30,45,75,TRUE,"Trait matching (Q3)"
-0.125420553582282,0.387319690780714,2.89985127281398,0.0897090796381235,49,11,50,TRUE,"Trait matching (Q1)"
-0.150174269867088,1.99162542703561,1.20063298614696,0.184991743485443,34,12,37,TRUE,"Trait matching (Q1)"
-0.0854032774674367,2.14832027908415,3.70772995753214,0.189269015134778,35,38,62,TRUE,"Trait matching (Q1)"
-0.0245385594048884,4.93400332285091,4.78157792123966,0.846585691021755,10,46,56,TRUE,"Trait matching (Q4)"
-0.0596369201204679,4.67731961747631,0.495621442096308,0.113475441350602,38,23,48,TRUE,"Trait matching (Q1)"
-0.159390894948963,3.65290496032685,4.77933102054521,0.409094836586155,50,18,56,TRUE,"Trait matching (Q2)"
