"","real_eigenvalue","power_H","power_L","complementarity"
"1",5.07027624045498,1e-04,1e-04,0.25
"2",4.98741702669261,1e-04,1e-04,0.25
"3",3.70746655466551,1e-04,1e-04,0.25
"4",4.34920110239773,1e-04,1e-04,0.25
"5",3.76642936063287,1e-04,1e-04,0.25
"6",4.63176172257378,1e-04,1e-04,0.25
"7",4.601400524246,1e-04,1e-04,0.25
"8",4.2273418329945,1e-04,1e-04,0.25
"9",4.61449800333968,1e-04,1e-04,0.25
"10",4.41529724325741,1e-04,1e-04,0.25
"11",4.63760812623525,1e-04,1e-04,0.25
"12",4.28206916695641,1e-04,1e-04,0.25
"13",4.81371022162475,1e-04,1e-04,0.25
"14",5.16554181874523,1e-04,1e-04,0.25
"15",4.71794148455765,1e-04,1e-04,0.25
"16",3.71558978540775,1e-04,1e-04,0.25
"17",3.79253247315553,1e-04,1e-04,0.25
"18",4.00028536521862,1e-04,1e-04,0.25
"19",4.81920396489169,1e-04,1e-04,0.25
"20",3.57125287949512,1e-04,1e-04,0.25
"21",4.96989658585024,1e-04,1e-04,0.25
"22",4.64231159442146,1e-04,1e-04,0.25
"23",4.18456602666364,1e-04,1e-04,0.25
"24",4.69841541669796,1e-04,1e-04,0.25
"25",5.22347642033954,1e-04,1e-04,0.25
"26",4.01330151144692,1e-04,1e-04,0.25
"27",4.36853570379669,1e-04,1e-04,0.25
"28",4.0586864261799,1e-04,1e-04,0.25
"29",4.65227200779745,1e-04,1e-04,0.25
"30",4.65249618482303,1e-04,1e-04,0.25
"31",4.94272230679042,1e-04,1e-04,0.25
"32",4.96504207125735,1e-04,1e-04,0.25
"33",3.6050409557691,1e-04,1e-04,0.25
"34",4.08997598610262,1e-04,1e-04,0.25
"35",5.37683442460744,1e-04,1e-04,0.25
"36",4.55485726848317,1e-04,1e-04,0.25
"37",3.60282729350355,1e-04,1e-04,0.25
"38",3.74924480010478,1e-04,1e-04,0.25
"39",4.89803525341376,1e-04,1e-04,0.25
"40",3.58011755912946,1e-04,1e-04,0.25
"41",4.22877047684075,1e-04,1e-04,0.25
"42",4.13946124737915,1e-04,1e-04,0.25
"43",3.92930465562974,1e-04,1e-04,0.25
"44",5.10204422515115,1e-04,1e-04,0.25
"45",4.31086417915526,1e-04,1e-04,0.25
"46",4.0855964403516,1e-04,1e-04,0.25
"47",4.1270626136848,1e-04,1e-04,0.25
